Squad,# Pl,Age,MP,Starts,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,
eng Arsenal,24,24.2,12,110,18,16,34,18,0,0,17,0,1.5,1.33,2.83,1.5,2.83,2023-2024
es Barcelona,24,26.8,12,141,19,13,32,18,1,1,20,0,1.58,1.08,2.67,1.5,2.58,2023-2024
pt Benfica,20,26.9,8,66,5,4,9,5,0,0,9,1,0.62,0.5,1.13,0.62,1.13,2023-2024
tr Beşiktaş,22,26.5,10,69,3,2,5,3,0,0,10,0,0.3,0.2,0.5,0.3,0.5,2023-2024
sct Celtic,23,25.9,10,89,6,5,11,6,0,0,15,0,0.6,0.5,1.1,0.6,1.1,2023-2024
eng Chelsea,24,28.0,13,146,17,11,28,16,1,1,17,1,1.31,0.85,2.15,1.23,2.08,2023-2024
ru CSKA Moscow,22,24.7,6,65,6,3,9,5,1,1,15,0,1.0,0.5,1.5,0.83,1.33,2023-2024
ua Dynamo Kyiv,27,26.9,8,66,4,4,8,4,0,0,8,0,0.5,0.5,1.0,0.5,1.0,2023-2024
tr Fenerbahçe,21,27.1,12,110,14,8,22,14,0,0,21,1,1.17,0.67,1.83,1.17,1.83,2023-2024
it Inter,24,28.8,8,88,12,9,21,11,1,1,20,1,1.5,1.13,2.62,1.37,2.5,2023-2024
it Lazio,21,28.3,8,67,8,5,13,8,0,1,12,0,1.0,0.62,1.62,1.0,1.62,2023-2024
eng Liverpool,22,26.5,14,130,29,22,51,26,3,3,17,0,2.07,1.57,3.64,1.86,3.43,2023-2024
fr Lyon,22,27.1,8,88,12,8,20,11,1,1,17,0,1.5,1.0,2.5,1.37,2.37,2023-2024
eng Manchester Utd,26,26.2,13,144,20,15,35,19,1,1,17,0,1.54,1.15,2.69,1.46,2.62,2023-2024
fr Marseille,20,25.1,6,66,6,3,9,6,0,0,13,0,1.0,0.5,1.5,1.0,1.5,2023-2024
it Milan,23,30.0,8,88,12,9,21,11,1,1,15,0,1.5,1.13,2.62,1.37,2.5,2023-2024
gr Olympiacos,23,30.1,8,88,11,6,17,11,0,0,17,1,1.37,0.75,2.12,1.37,2.12,2023-2024
pt Porto,22,26.0,8,88,7,5,12,5,2,2,11,1,0.87,0.62,1.5,0.62,1.25,2023-2024
nl PSV Eindhoven,21,25.9,6,68,3,2,5,3,0,0,8,1,0.5,0.33,0.83,0.5,0.83,2023-2024
sct Rangers,18,27.4,10,63,7,5,12,6,1,1,15,1,0.7,0.5,1.2,0.6,1.1,2023-2024
es Real Madrid,23,26.2,8,88,15,13,28,15,0,0,17,0,1.87,1.62,3.5,1.87,3.5,2023-2024
it Roma,22,27.9,10,110,14,9,23,14,0,0,23,0,1.4,0.9,2.3,1.4,2.3,2023-2024
no Rosenborg,16,27.5,10,69,6,4,10,6,0,0,8,0,0.6,0.4,1.0,0.6,1.0,2023-2024
de Schalke 04,23,25.9,10,110,6,6,12,6,0,0,26,0,0.6,0.6,1.2,0.6,1.2,2023-2024
es Sevilla,24,27.0,10,82,16,10,26,16,0,0,14,0,1.6,1.0,2.6,1.6,2.6,2023-2024
ua Shakhtar,17,25.1,10,66,6,3,9,5,1,1,12,0,0.6,0.3,0.9,0.5,0.8,2023-2024
cz Slavia Prague,23,26.2,10,65,5,3,8,5,0,0,12,0,0.5,0.3,0.8,0.5,0.8,2023-2024
pt Sporting CP,23,24.9,6,65,9,5,14,8,1,1,9,0,1.5,0.83,2.33,1.33,2.17,2023-2024
ro Steaua,21,25.6,10,66,4,3,7,4,0,0,12,0,0.4,0.3,0.7,0.4,0.7,2023-2024
de Stuttgart,21,25.6,6,82,7,4,11,7,0,1,10,0,1.17,0.67,1.83,1.17,1.83,2023-2024
es Valencia,23,27.5,8,66,2,1,3,2,0,0,8,1,0.25,0.12,0.37,0.25,0.37,2023-2024
de Werder Bremen,20,25.6,8,80,8,6,14,7,1,1,10,1,1.0,0.75,1.75,0.87,1.62,2023-2024
